STRD_YR_CD,STRD_QTR_CD,ADSTRD_CD,ADSTRD_CD_NM,TOTL_RCTM_PUL_CNT,MALE_RCTM_PUL_CNT,FMLE_RCTM_PUL_CNT,AGRDE_10_RCTM_PUL_CNT,AGRDE_20_RCTM_PUL_CNT,AGRDE_30_RCTM_PUL_CNT,AGRDE_40_RCTM_PUL_CNT,AGRDE_50_RCTM_PUL_CNT,AGRDE_60_ABOVE_RCTM_PUL_CNT,MALE_AGRDE_10_RCTM_PUL_CNT,MALE_AGRDE_20_RCTM_PUL_CNT,MALE_AGRDE_30_RCTM_PUL_CNT,MALE_AGRDE_40_RCTM_PUL_CNT,MALE_AGRDE_50_RCTM_PUL_CNT,MALE_AGRDE_60_ABOVE_RCTM_PUL_CNT,FMLE_AGRDE_10_RCTM_PUL_CNT,FMLE_AGRDE_20_RCTM_PUL_CNT,FMLE_AGRDE_30_RCTM_PUL_CNT,FMLE_AGRDE_40_RCTM_PUL_CNT,FMLE_AGRDE_50_RCTM_PUL_CNT,FMLE_AGRDE_60_ABOVE_RCTM_PUL_CNT,AREA_DIMS
2014,2,11320521,도봉1동,3061,1966,1095,3,180,396,811,1028,643,1,63,222,534,725,421,2,117,174,277,303,222,8547209
2014,2,11320522,도봉2동,4518,2687,1831,6,299,788,1060,1060,1305,4,117,374,618,642,932,2,182,414,442,418,373,1204332
2014,2,11320660,쌍문1동,2332,1009,1323,6,311,386,658,698,273,4,41,144,262,361,197,2,270,242,396,337,76,1177010
2014,2,11320670,쌍문2동,2491,1353,1138,14,240,489,628,710,410,9,90,254,322,422,256,5,150,235,306,288,154,539384
2014,2,11320680,쌍문3동,1814,809,1005,2,331,476,520,341,144,2,68,232,256,176,75,0,263,244,264,165,69,504867
2014,2,11320681,쌍문4동,1013,381,632,2,116,246,263,299,87,0,21,93,81,126,60,2,95,153,182,173,27,543784
2014,2,11320690,방학1동,4704,2634,2070,10,483,891,1185,1386,749,4,180,476,619,818,537,6,303,415,566,568,212,1041785
2014,2,11320700,방학2동,1197,604,593,1,106,270,346,324,150,0,34,140,151,168,111,1,72,130,195,156,39,1102018
2014,2,11320710,방학3동,1680,806,874,0,119,311,431,555,264,0,31,133,175,270,197,0,88,178,256,285,67,1856777
2014,2,11350560,월계1동,3300,2034,1266,3,436,819,800,836,406,1,200,479,500,561,293,2,236,340,300,275,113,1218934
2014,2,11350570,월계2동,1628,811,817,6,160,334,480,455,193,5,45,128,232,247,154,1,115,206,248,208,39,1991095
2014,2,11350580,월계3동,1239,565,674,2,120,259,386,331,141,0,31,101,160,174,99,2,89,158,226,157,42,1133881
2014,2,11350595,공릉1동,7896,4230,3666,21,797,1456,1956,2075,1591,10,279,842,1054,1063,982,11,518,614,902,1012,609,1217193
2014,2,11350600,공릉2동,6042,2892,3150,4,928,1401,1529,1489,691,2,204,562,705,902,517,2,724,839,824,587,174,7207339
2014,2,11350611,하계1동,6539,3646,2893,16,990,1632,1762,1626,513,9,341,788,1035,1127,346,7,649,844,727,499,167,1467562
2014,2,11350612,하계2동,536,162,374,1,51,106,163,175,40,0,10,19,34,67,32,1,41,87,129,108,8,513857
2014,2,11350619,중계본동,2037,965,1072,2,205,384,545,476,425,2,64,172,247,232,248,0,141,212,298,244,177,2094464
2014,2,11350621,중계1동,1346,581,765,6,189,270,397,309,175,2,45,106,138,154,136,4,144,164,259,155,39,624508
2014,2,11350624,중계4동,1857,832,1025,4,149,366,549,536,253,2,41,169,223,229,168,2,108,197,326,307,85,1540528
2014,2,11350625,중계2.3동,2367,973,1394,3,294,513,715,646,196,1,88,236,268,251,129,2,206,277,447,395,67,912217
2014,2,11350630,상계1동,4385,2157,2228,16,462,848,1274,1100,685,8,173,460,592,521,403,8,289,388,682,579,282,4997346
2014,2,11350640,상계2동,3481,1413,2068,19,590,754,905,854,359,9,177,344,351,337,195,10,413,410,554,517,164,629194
2014,2,11350665,상계3.4동,2954,1715,1239,5,177,323,761,992,696,0,39,154,461,653,408,5,138,169,300,339,288,5751720
2014,2,11350670,상계5동,1535,597,938,3,111,222,396,442,361,0,42,107,145,132,171,3,69,115,251,310,190,473604
2014,2,11350695,상계6.7동,7760,3231,4529,7,1328,2032,2078,1652,663,3,269,703,908,959,389,4,1059,1329,1170,693,274,1434043
2014,2,11350700,상계8동,906,284,622,3,85,185,298,244,91,3,15,32,60,109,65,0,70,153,238,135,26,668937
2014,2,11350710,상계9동,1156,440,716,3,112,308,348,283,102,1,23,78,112,146,80,2,89,230,236,137,22,833448
2014,2,11350720,상계10동,931,325,606,0,90,188,279,283,91,0,20,49,99,110,47,0,70,139,180,173,44,802642
2014,2,11380510,녹번동,5926,3084,2842,13,561,1452,1656,1537,707,5,176,659,871,939,434,8,385,793,785,598,273,1923020
2014,2,11380520,불광1동,2459,1030,1429,6,416,821,618,429,169,3,95,322,302,205,103,3,321,499,316,224,66,2948578
2014,2,11380530,불광2동,2996,1455,1541,15,309,660,867,817,328,11,88,295,439,454,168,4,221,365,428,363,160,1756596
2014,2,11380551,갈현1동,1861,847,1014,8,294,446,504,383,226,4,80,192,232,204,135,4,214,254,272,179,91,909869
2014,2,11380552,갈현2동,2701,1109,1592,4,333,653,693,704,314,2,103,300,268,263,173,2,230,353,425,441,141,1018512
